Fingerprint Type, Similarity Method, Min Cluster Size, Min Samples, Num Clusters, Noise Fraction
MACCS, Tanimoto, 10, 1, 331, 0.312953995157385
MACCS, Tanimoto, 10, 2, 331, 0.312953995157385
MACCS, Tanimoto, 10, 3, 288, 0.36592009685230026
MACCS, Tanimoto, 10, 5, 301, 0.3855932203389831
MACCS, Tanimoto, 10, 10, 269, 0.469229217110573
MACCS, Tanimoto, 10, 15, 286, 0.47447538337368844
MACCS, Tanimoto, 20, 1, 136, 0.46095641646489105
MACCS, Tanimoto, 20, 2, 136, 0.46095641646489105
MACCS, Tanimoto, 20, 3, 135, 0.4876916868442292
MACCS, Tanimoto, 20, 5, 117, 0.5533696529459241
MACCS, Tanimoto, 20, 10, 108, 0.6369047619047619
MACCS, Tanimoto, 20, 15, 92, 0.6842211460855528
MACCS, Tanimoto, 50, 1, 36, 0.6567796610169492
MACCS, Tanimoto, 50, 2, 36, 0.6567796610169492
MACCS, Tanimoto, 50, 3, 35, 0.6791767554479419
MACCS, Tanimoto, 50, 5, 30, 0.726594027441485
MACCS, Tanimoto, 50, 10, 20, 0.8174939467312349
MACCS, Tanimoto, 50, 15, 19, 0.8239507667473769
MACCS, Tanimoto, 100, 1, 13, 0.7195318805488297
MACCS, Tanimoto, 100, 2, 13, 0.7195318805488297
MACCS, Tanimoto, 100, 3, 11, 0.7676553672316384
MACCS, Tanimoto, 100, 5, 12, 0.7952986279257466
MACCS, Tanimoto, 100, 10, 7, 0.8741928974979822
MACCS, Tanimoto, 100, 15, 7, 0.823547215496368
Circular, Cosine, 10, 1, 221, 0.5817191283292978
Circular, Cosine, 10, 2, 221, 0.5817191283292978
Circular, Cosine, 10, 3, 186, 0.6331719128329297
Circular, Cosine, 10, 5, 138, 0.7129741727199355
Circular, Cosine, 10, 10, 88, 0.7863196125907991
Circular, Cosine, 10, 15, 53, 0.8283898305084746
Circular, Cosine, 20, 1, 94, 0.6505246166263116
Circular, Cosine, 20, 2, 94, 0.6505246166263116
Circular, Cosine, 20, 3, 86, 0.6675746569814366
Circular, Cosine, 20, 5, 64, 0.7371872477804681
Circular, Cosine, 20, 10, 41, 0.783091202582728
Circular, Cosine, 20, 15, 32, 0.8187046004842615
Circular, Cosine, 50, 1, 26, 0.7460653753026635
Circular, Cosine, 50, 2, 26, 0.7460653753026635
Circular, Cosine, 50, 3, 26, 0.7589790153349475
Circular, Cosine, 50, 5, 20, 0.7841000807102502
Circular, Cosine, 50, 10, 19, 0.828591606133979
Circular, Cosine, 50, 15, 14, 0.8741928974979822
Circular, Cosine, 100, 1, 10, 0.7209443099273608
Circular, Cosine, 100, 2, 10, 0.7209443099273608
Circular, Cosine, 100, 3, 10, 0.7430387409200968
Circular, Cosine, 100, 5, 10, 0.8097255851493139
Circular, Cosine, 100, 10, 6, 0.8911420500403551
Circular, Cosine, 100, 15, 6, 0.882768361581921
Circular, Tanimoto, 10, 1, 283, 0.4704398708635997
Circular, Tanimoto, 10, 2, 283, 0.4704398708635997
Circular, Tanimoto, 10, 3, 251, 0.5102905569007264
Circular, Tanimoto, 10, 5, 209, 0.5755649717514124
Circular, Tanimoto, 10, 10, 174, 0.6321630347054076
Circular, Tanimoto, 10, 15, 175, 0.6323648103309121
Circular, Tanimoto, 20, 1, 117, 0.5380347054075868
Circular, Tanimoto, 20, 2, 117, 0.5380347054075868
Circular, Tanimoto, 20, 3, 110, 0.5633575464083939
Circular, Tanimoto, 20, 5, 94, 0.637409200968523
Circular, Tanimoto, 20, 10, 67, 0.6835149313962873
Circular, Tanimoto, 20, 15, 60, 0.6981436642453591
Circular, Tanimoto, 50, 1, 39, 0.6609160613397902
Circular, Tanimoto, 50, 2, 39, 0.6609160613397902
Circular, Tanimoto, 50, 3, 40, 0.6568805488297014
Circular, Tanimoto, 50, 5, 27, 0.7174132364810331
Circular, Tanimoto, 50, 10, 24, 0.7813761097659403
Circular, Tanimoto, 50, 15, 22, 0.787227602905569
Circular, Tanimoto, 100, 1, 14, 0.7217514124293786
Circular, Tanimoto, 100, 2, 14, 0.7217514124293786
Circular, Tanimoto, 100, 3, 13, 0.7069209039548022
Circular, Tanimoto, 100, 5, 13, 0.8042776432606941
Circular, Tanimoto, 100, 10, 9, 0.8730831315577078
Circular, Tanimoto, 100, 15, 13, 0.8383777239709443
Lingo, Dice, 10, 1, 190, 0.6532485875706214
Lingo, Dice, 10, 2, 190, 0.6532485875706214
Lingo, Dice, 10, 3, 153, 0.7119652945924132
Lingo, Dice, 10, 5, 115, 0.7692695722356739
Lingo, Dice, 10, 10, 69, 0.8495762711864406
Lingo, Dice, 10, 15, 49, 0.8809523809523809
Lingo, Dice, 20, 1, 66, 0.7184221146085553
Lingo, Dice, 20, 2, 66, 0.7184221146085553
Lingo, Dice, 20, 3, 58, 0.7377925746569814
Lingo, Dice, 20, 5, 47, 0.8050847457627118
Lingo, Dice, 20, 10, 29, 0.8693502824858758
Lingo, Dice, 20, 15, 24, 0.8821630347054076
Lingo, Dice, 50, 1, 22, 0.7850080710250201
Lingo, Dice, 50, 2, 22, 0.7850080710250201
Lingo, Dice, 50, 3, 16, 0.8331315577078289
Lingo, Dice, 50, 5, 14, 0.880548829701372
Lingo, Dice, 50, 10, 7, 0.8985068603712671
Lingo, Dice, 50, 15, 8, 0.9112187247780468
Lingo, Dice, 100, 1, 10, 0.839588377723971
Lingo, Dice, 100, 2, 10, 0.839588377723971
Lingo, Dice, 100, 3, 10, 0.8591606133979015
Lingo, Dice, 100, 5, 5, 0.8684422921711057
Lingo, Dice, 100, 10, 4, 0.8942695722356739
Lingo, Dice, 100, 15, 3, 0.8186037126715093
MACCS, Cosine, 10, 1, 73, 0.36289346246973364
MACCS, Cosine, 10, 2, 73, 0.36289346246973364
MACCS, Cosine, 10, 3, 58, 0.4268563357546408
MACCS, Cosine, 10, 5, 46, 0.5363196125907991
MACCS, Cosine, 10, 10, 31, 0.6983454398708636
MACCS, Cosine, 10, 15, 28, 0.764225181598063
MACCS, Cosine, 20, 1, 16, 0.3862994350282486
MACCS, Cosine, 20, 2, 16, 0.3862994350282486
MACCS, Cosine, 20, 3, 14, 0.4720540758676352
MACCS, Cosine, 20, 5, 11, 0.573547215496368
MACCS, Cosine, 20, 10, 13, 0.7205407586763519
MACCS, Cosine, 20, 15, 8, 0.777542372881356
MACCS, Cosine, 50, 1, 3, 0.2581719128329298
MACCS, Cosine, 50, 2, 3, 0.2581719128329298
MACCS, Cosine, 50, 3, 3, 0.2970137207425343
MACCS, Cosine, 50, 5, 2, 0.3029661016949153
MACCS, Cosine, 50, 10, 4, 0.726089588377724
MACCS, Cosine, 50, 15, 4, 0.7866222760290557
MACCS, Cosine, 100, 1, 2, 0.19410815173527038
MACCS, Cosine, 100, 2, 2, 0.19410815173527038
MACCS, Cosine, 100, 3, 2, 0.22962066182405166
MACCS, Cosine, 100, 5, 2, 0.6253026634382567
MACCS, Cosine, 100, 10, 4, 0.726089588377724
MACCS, Cosine, 100, 15, 2, 0.6779661016949152
Lingo, Tanimoto, 10, 1, 191, 0.6579903147699758
Lingo, Tanimoto, 10, 2, 191, 0.6579903147699758
Lingo, Tanimoto, 10, 3, 153, 0.7119652945924132
Lingo, Tanimoto, 10, 5, 115, 0.7692695722356739
Lingo, Tanimoto, 10, 10, 69, 0.8495762711864406
Lingo, Tanimoto, 10, 15, 49, 0.8809523809523809
Lingo, Tanimoto, 20, 1, 66, 0.7184221146085553
Lingo, Tanimoto, 20, 2, 66, 0.7184221146085553
Lingo, Tanimoto, 20, 3, 58, 0.7377925746569814
Lingo, Tanimoto, 20, 5, 47, 0.8050847457627118
Lingo, Tanimoto, 20, 10, 29, 0.8693502824858758
Lingo, Tanimoto, 20, 15, 24, 0.8821630347054076
Lingo, Tanimoto, 50, 1, 22, 0.7850080710250201
Lingo, Tanimoto, 50, 2, 22, 0.7850080710250201
Lingo, Tanimoto, 50, 3, 16, 0.8331315577078289
Lingo, Tanimoto, 50, 5, 14, 0.880548829701372
Lingo, Tanimoto, 50, 10, 7, 0.8985068603712671
Lingo, Tanimoto, 50, 15, 8, 0.9112187247780468
Lingo, Tanimoto, 100, 1, 10, 0.839588377723971
Lingo, Tanimoto, 100, 2, 10, 0.839588377723971
Lingo, Tanimoto, 100, 3, 10, 0.8591606133979015
Lingo, Tanimoto, 100, 5, 5, 0.8684422921711057
Lingo, Tanimoto, 100, 10, 4, 0.8942695722356739
Lingo, Tanimoto, 100, 15, 3, 0.8186037126715093
Circular, Dice, 10, 1, 283, 0.4704398708635997
Circular, Dice, 10, 2, 283, 0.4704398708635997
