Fingerprint Type, Similarity Method, Min Cluster Size, Min Samples, Num Clusters, Noise Fraction
MACCS, Tanimoto, 10, 1, 159, 0.617231638418079
MACCS, Tanimoto, 10, 2, 127, 0.6795803066989508
MACCS, Tanimoto, 10, 3, 108, 0.7151937046004843
MACCS, Tanimoto, 10, 5, 84, 0.7730024213075061
MACCS, Tanimoto, 10, 10, 55, 0.8484665052461663
MACCS, Tanimoto, 10, 15, 41, 0.8722760290556901
MACCS, Tanimoto, 20, 1, 69, 0.6855326876513317
MACCS, Tanimoto, 20, 2, 62, 0.7195318805488297
MACCS, Tanimoto, 20, 3, 57, 0.7436440677966102
MACCS, Tanimoto, 20, 5, 45, 0.8038740920096852
MACCS, Tanimoto, 20, 10, 34, 0.8624899112187248
MACCS, Tanimoto, 20, 15, 26, 0.8899313962873285
MACCS, Tanimoto, 50, 1, 22, 0.7621065375302664
MACCS, Tanimoto, 50, 2, 19, 0.7971146085552865
MACCS, Tanimoto, 50, 3, 16, 0.8342413236481033
MACCS, Tanimoto, 50, 5, 12, 0.8533091202582728
MACCS, Tanimoto, 50, 10, 9, 0.9036521388216303
MACCS, Tanimoto, 50, 15, 9, 0.9096045197740112
MACCS, Tanimoto, 100, 1, 10, 0.785411622276029
MACCS, Tanimoto, 100, 2, 10, 0.807001614205004
MACCS, Tanimoto, 100, 3, 9, 0.8152744148506861
MACCS, Tanimoto, 100, 5, 8, 0.8568401937046005
MACCS, Tanimoto, 100, 10, 4, 0.9020379338175948
MACCS, Tanimoto, 100, 15, 4, 0.9049636803874092
Circular, Cosine, 10, 1, 211, 0.5926150121065376
Circular, Cosine, 10, 2, 181, 0.645682001614205
Circular, Cosine, 10, 3, 148, 0.6854317998385795
Circular, Cosine, 10, 5, 122, 0.740819209039548
Circular, Cosine, 10, 10, 75, 0.8059927360774818
Circular, Cosine, 10, 15, 43, 0.8229418886198547
Circular, Cosine, 20, 1, 93, 0.654862792574657
Circular, Cosine, 20, 2, 83, 0.6734261501210653
Circular, Cosine, 20, 3, 76, 0.7129741727199355
Circular, Cosine, 20, 5, 54, 0.7610976594027441
Circular, Cosine, 20, 10, 39, 0.7883373688458434
Circular, Cosine, 20, 15, 30, 0.8286924939467313
Circular, Cosine, 50, 1, 26, 0.7461662631154157
Circular, Cosine, 50, 2, 26, 0.760593220338983
Circular, Cosine, 50, 3, 22, 0.7607949959644875
Circular, Cosine, 50, 5, 19, 0.816182405165456
Circular, Cosine, 50, 10, 19, 0.8328288942695722
Circular, Cosine, 50, 15, 14, 0.8782284100080711
Circular, Cosine, 100, 1, 10, 0.721045197740113
Circular, Cosine, 100, 2, 10, 0.7439467312348669
Circular, Cosine, 100, 3, 9, 0.7893462469733656
Circular, Cosine, 100, 5, 10, 0.8331315577078289
Circular, Cosine, 100, 10, 5, 0.9337167070217918
Circular, Cosine, 100, 15, 6, 0.8875100887812752
Circular, Tanimoto, 10, 1, 226, 0.5678974979822438
Circular, Tanimoto, 10, 2, 192, 0.6198547215496368
Circular, Tanimoto, 10, 3, 166, 0.6494148506860371
Circular, Tanimoto, 10, 5, 133, 0.7197336561743342
Circular, Tanimoto, 10, 10, 77, 0.7862187247780468
Circular, Tanimoto, 10, 15, 50, 0.8067998385794996
Circular, Tanimoto, 20, 1, 96, 0.6161218724778047
Circular, Tanimoto, 20, 2, 86, 0.6536521388216303
Circular, Tanimoto, 20, 3, 76, 0.6978410008071025
Circular, Tanimoto, 20, 5, 62, 0.7356739305891848
Circular, Tanimoto, 20, 10, 43, 0.7673527037933817
Circular, Tanimoto, 20, 15, 34, 0.7974172719935432
Circular, Tanimoto, 50, 1, 31, 0.7284100080710251
Circular, Tanimoto, 50, 2, 31, 0.7411218724778047
Circular, Tanimoto, 50, 3, 25, 0.7814769975786925
Circular, Tanimoto, 50, 5, 21, 0.7933817594834544
Circular, Tanimoto, 50, 10, 19, 0.8261702986279258
Circular, Tanimoto, 50, 15, 15, 0.8417070217917676
Circular, Tanimoto, 100, 1, 12, 0.7227602905569007
Circular, Tanimoto, 100, 2, 11, 0.7441485068603713
Circular, Tanimoto, 100, 3, 10, 0.7771388216303471
Circular, Tanimoto, 100, 5, 11, 0.7978208232445521
Circular, Tanimoto, 100, 10, 8, 0.8908393866020985
Circular, Tanimoto, 100, 15, 10, 0.8722760290556901
Lingo, Dice, 10, 1, 176, 0.6755447941888619
Lingo, Dice, 10, 2, 145, 0.7268966908797417
Lingo, Dice, 10, 3, 112, 0.7644269572235673
Lingo, Dice, 10, 5, 89, 0.8137610976594027
Lingo, Dice, 10, 10, 49, 0.8653147699757869
Lingo, Dice, 10, 15, 28, 0.9106133979015335
Lingo, Dice, 20, 1, 63, 0.7309322033898306
Lingo, Dice, 20, 2, 55, 0.7506053268765133
Lingo, Dice, 20, 3, 49, 0.7974172719935432
Lingo, Dice, 20, 5, 39, 0.8283898305084746
Lingo, Dice, 20, 10, 25, 0.8852905569007264
Lingo, Dice, 20, 15, 21, 0.8992130750605327
Lingo, Dice, 50, 1, 21, 0.8008474576271186
Lingo, Dice, 50, 2, 15, 0.8454398708635997
