Cluster ID, N Cluster Molecules, SMILES
0, 10, None
1, 30, None
2, 10, None
3, 17, None
4, 10, [cH3:2][cH:1][cH:3][cH3:9]
5, 13, None
6, 32, None
7, 12, [cH3:11][cH:6][cH:2][cH:5][cH2:7]
8, 11, None
9, 12, None
10, 23, None
11, 14, None
12, 13, [cH:7]1[cH:3][cH:1][cH:4][cH:11][cH:9]1
13, 22, None
14, 10, [CH3:1][CH3:2]
15, 10, None
16, 30, None
17, 10, [cH3:2][cH:1][cH2:7]
18, 21, [cH2:2][cH2:4]
19, 19, [cH2:1][cH2:3]
20, 12, None
21, 17, None
22, 18, [cH2:3][cH2:13]
23, 10, [cH3:10][c:7]([cH:3][cH:1][cH2:5])[CH3:9]
24, 10, [cH3:15][cH:16][cH:3][cH:4][cH2:5]
25, 15, [cH3:8][cH:2][cH2:3]
26, 19, [cH3:9][cH:2][cH2:1]
27, 17, [cH3:5][cH:1][cH2:10]
28, 19, None
29, 26, None
30, 39, None
31, 11, [cH3:1][cH3:2]
32, 14, [cH2:9][cH2:3]
33, 10, [cH3:8][cH:7][cH:12][cH:4][cH2:5]
34, 25, None
35, 17, None
36, 13, None
37, 21, [cH:6]1[cH:3][cH:1][cH:5][cH:2][cH:4]1
38, 24, [cH3:7][cH:8][cH2:10]
39, 26, [cH:7]1[cH:6][cH:5][cH:12][cH:11][cH:9]1
40, 10, [cH:15]1[cH:14][cH:13][cH:18][cH:17][cH:16]1
41, 13, [cH3:6][cH:7][cH:2][cH:3][cH2:4]
42, 37, [cH3:12][cH:6][cH:4][cH:3][cH2:14]
43, 11, [cH3:2][cH:3][cH2:4]
44, 26, [cH3:3][cH:1][cH:4][cH3:13]
45, 11, None
46, 11, [cH3:23][cH:24][cH:19][CH3:2]
47, 16, [cH2:9][cH2:19]
48, 19, None
49, 25, [cH3:2][cH:10][cH:1][cH:6][cH2:5]
50, 11, [cH3:8][cH:6][cH:4][cH:2][cH2:5]
51, 20, [cH3:5][cH:3][cH:1][cH:2][cH2:4]
52, 11, [cH3:5][cH:3][cH:1][cH:2][cH2:4]
53, 28, [cH3:6][cH:5][cH2:15]
54, 10, [cH3:3][cH:1][cH2:6]
55, 15, [cH3:2][cH:1][cH:4][cH:20][cH2:18]
56, 17, [cH:13]1[cH:12][cH:11][cH:17][cH:15][cH:14]1
57, 11, None
58, 25, [cH3:10][cH:12][cH2:4]
