Cluster ID, N Cluster Molecules, SMILES
0, 25, [cH2:3][nH:1]
1, 31, [CH3:8][CH2:9][CH:10]([CH2:11][CH3:18])[CH2:14][CH3:15]
2, 39, [cH3:9][cH:3][n:10][cH:18][cH2:17]
3, 21, [cH:5]1[cH:2][cH:1][cH:3][cH:9][cH:7]1
4, 25, [cH:14]1[cH:3][cH:2][cH:17][cH:16][cH:15]1
5, 42, [cH:13]1[cH:11][cH:3][c:1]([cH:4][cH:15]1)[SH:2](=[O:6])=[O:7]
6, 27, [cH:12]1[cH:11][cH:10][cH:16][cH:14][cH:13]1
7, 25, [cH3:7][cH:8][cH:3][cH2:4][N+:19](=[O:21])[O-:20]
8, 24, [cH3:4][cH:8][cH:9][cH:10][cH2:11]
9, 4920, None
10, 42, [cH:9]1[cH:7][cH:5][c:2]([cH:6][cH:11]1)[NH:1][CH:3]=[O:16]
